001R_FRG3G	-0.090230025 0.10299861 -0.02642013 -0.077228315 0.092396624 0.0031617412 0.017263265 0.121496215 -0.10380678 0.12603582 0.12210306 0.02919813 -0.066561066 0.029137298 0.16850972 -0.011162131 -0.0049777706 0.17280005 -0.109703265 0.029488657 0.23019461 0.06990076 -0.09159812 -0.10500362 0.07141893 0.09655413 0.09447614 -0.11244026 -0.022963533 0.029581824 -0.06800888 0.02415489 0.087663114 -0.04372663 -0.097929046 0.043120075 -0.282353 -0.13558619 0.055449292 -0.060144834 -0.045105193 -0.12978172 -0.051852275 -0.016552825 0.09807109 0.024797758 0.03130362 -0.11264412 0.03505263 0.07783097 -0.12099657 -0.09370786 -0.16636537 0.20332116 0.072392665 0.030058505 0.061291236 0.08986626 -0.104037575 -0.21427019 -0.038240865 0.035013102 -0.13036907 0.047556315 -0.14192897 -0.10217583 -0.024927298 0.013156193 0.049974605 0.056686502 0.015326492 -0.15982655 0.12072901 -0.104722224 0.16571964 -0.06207847 -0.15300694 -0.13125737 0.017590795 0.14771414 0.012522206 0.058884844 -0.11191686 -0.054182384 0.15159944 -0.10767485 -0.04645243 0.051846374 -0.008650958 0.089256436 -0.051180203 -0.08117431 -0.04266507 -0.0500394 -0.091747925 0.08573923 0.20771366 -0.019129865 -0.07583674 0.1284388
002L_FRG3G	-0.13162252 0.049770407 0.04290007 -0.07322956 0.13215315 0.052510623 -0.034171373 0.076426595 -0.06183558 0.109445885 0.1506079 -0.0038990574 -0.08722447 0.021802176 0.09779622 0.019972762 -0.011787604 0.1591738 -0.052782975 -0.009222774 0.16187008 0.07327499 -0.13124888 -0.08254928 0.0872068 0.05904664 0.052556045 -0.07798897 -0.03469067 0.023887971 -0.098024525 0.08481939 0.059573326 -0.068939544 -0.06365674 0.034254327 -0.28202835 -0.13159217 0.052923612 -0.076301396 -0.11737341 -0.12979081 -0.11744981 -0.035193484 0.114481926 0.06893611 0.022420624 -0.15255424 0.03946477 0.12920162 -0.046681613 -0.04399611 -0.1487829 0.15437108 -0.0021810995 0.039965175 0.12705313 0.09997519 -0.06785574 -0.23242067 -0.07135275 -0.0058549517 -0.07014081 0.052402977 -0.099686675 -0.084520034 -0.014039762 0.016695043 0.059234224 0.050997917 0.054123845 -0.1900043 0.17752747 -0.069973305 0.20179658 -0.013471011 -0.15943263 -0.1138783 0.023306977 0.16130391 -0.005406578 0.059693463 -0.09763817 -0.072262384 0.14088137 -0.13168249 -0.045661625 0.045440827 0.003765742 0.0020956518 -0.06880652 -0.12107409 0.006702107 -0.032386504 -0.043261576 0.10801142 0.27836397 0.000966803 -0.03432901 0.124931656
002R_IIV3	-0.09035592 0.10377901 -0.0182281 -0.08244922 0.0951453 0.008652107 0.018539023 0.10633389 -0.098301806 0.11916452 0.1373399 0.022938697 -0.062071856 0.024282662 0.17216954 -9.841392e-05 -0.0037780982 0.17255738 -0.09755612 0.016764628 0.21942282 0.07118312 -0.107061855 -0.10251369 0.065604165 0.09443552 0.08239679 -0.10780858 -0.025943665 0.026977964 -0.0646024 0.023674468 0.07797441 -0.04109217 -0.09614617 0.035357602 -0.27950105 -0.13756762 0.051538225 -0.06505446 -0.04901064 -0.13652775 -0.06563356 -0.02228168 0.09508362 0.01591615 0.03185004 -0.1138408 0.034758847 0.09216316 -0.114491366 -0.094491564 -0.16600089 0.20734677 0.060195874 0.024557061 0.09236885 0.08884517 -0.10536972 -0.21387571 -0.04522332 0.030631015 -0.1366332 0.03983167 -0.12794878 -0.10108349 -0.018815255 0.0056740944 0.05887004 0.050470658 0.013177309 -0.1796014 0.13230357 -0.09254881 0.17046675 -0.051903512 -0.16949464 -0.12350314 0.031976048 0.13715759 -0.0009303791 0.054050434 -0.12483621 -0.04992775 0.14719296 -0.099612676 -0.04606134 0.05941217 -0.018551512 0.06293366 -0.04345938 -0.09059692 -0.056359332 -0.031631727 -0.08933721 0.09391721 0.21132806 -0.025728347 -0.081004165 0.12800136
003L_IIV3	-0.13921669 0.013744173 0.026872057 -0.056753743 0.11281407 0.016111996 -0.030770335 0.086760804 -0.05021312 0.11939518 0.15032364 0.012773335 -0.093119174 0.039620355 0.06575254 -0.016808026 -0.0081091225 0.16882086 -0.067467935 0.013714271 0.18570188 0.08249888 -0.09515132 -0.100591265 0.09646604 0.03209821 0.060266636 -0.0527233 -0.0343707 0.04262761 -0.10172469 0.0966227 0.106359005 -0.071201734 -0.059684195 0.063300595 -0.28429344 -0.13229312 0.06547688 -0.0645548 -0.106956065 -0.12145917 -0.07774924 -0.041888896 0.15637566 0.09133199 -0.0016069129 -0.12144806 0.06341486 0.1258315 -0.05235527 -0.045936786 -0.15337972 0.19292676 0.021104373 0.05576892 0.106120825 0.10509328 -0.118101075 -0.23945409 -0.030110665 -0.0006481714 -0.09308656 0.053396653 -0.13627014 -0.09775094 -0.036287207 0.034835108 0.036742963 0.07456404 0.011787598 -0.17855576 0.13077907 -0.086897016 0.21550089 -0.03635533 -0.12906605 -0.144616 0.005775224 0.13929243 0.019803988 0.062352277 -0.066269875 -0.06659251 0.13092136 -0.13759224 -0.04253311 0.016619766 0.02644032 0.03727565 -0.026287287 -0.08545595 0.021067165 -0.061286718 -0.09023495 0.075628735 0.24631013 0.03681159 -0.050531194 0.13097662
003R_FRG3G	-0.08629999 0.11677654 -0.030944405 -0.08872608 0.09754647 -0.0022662238 0.02872185 0.12561597 -0.110543974 0.12578028 0.1217419 0.027571747 -0.058264576 0.022649191 0.17928232 -0.015723875 -0.0081495335 0.17643547 -0.10176681 0.03355218 0.2296915 0.073004335 -0.096516274 -0.103990555 0.06612011 0.09706058 0.089692 -0.12223087 -0.021298824 0.031541187 -0.06610934 0.017754087 0.0743472 -0.04206331 -0.09433291 0.040306512 -0.2850658 -0.13999435 0.04605936 -0.061696865 -0.036310896 -0.13565509 -0.048874825 -0.015330723 0.08941295 0.01778914 0.03523151 -0.10444949 0.029635452 0.07607263 -0.13535291 -0.101557344 -0.168107 0.2027788 0.07419057 0.020572145 0.059968106 0.08436176 -0.09857426 -0.20779236 -0.03596598 0.041785266 -0.13815446 0.045983493 -0.13627136 -0.1034082 -0.01791298 0.01585017 0.054759692 0.050795905 0.011846634 -0.1597452 0.12272894 -0.10200432 0.1599107 -0.06093729 -0.15357466 -0.121206984 0.028947977 0.13382682 0.0005495177 0.06157175 -0.12571555 -0.043948162 0.15165146 -0.096525125 -0.03514767 0.062010653 -0.016008273 0.08415781 -0.04452538 -0.07657453 -0.05549764 -0.048008382 -0.09018988 0.09964597 0.19734396 -0.036372557 -0.08042451 0.13123745
004R_FRG3G	-0.08042283 0.1276924 -0.034735806 -0.094419606 0.087344676 -0.011598595 0.02458871 0.13234565 -0.11917187 0.13021119 0.111515515 0.031612583 -0.054252706 0.026792083 0.17487684 -0.019221026 -0.00839016 0.17740425 -0.10355715 0.036390092 0.2209957 0.06361584 -0.09199956 -0.10271593 0.06950945 0.10570306 0.10688994 -0.1106548 -0.028270304 0.033853643 -0.069187045 0.007016731 0.08081583 -0.042069063 -0.100364186 0.041759375 -0.28236842 -0.13356 0.04383312 -0.062119834 -0.037867405 -0.12336827 -0.039877176 -0.015907012 0.076044284 0.012191668 0.03653873 -0.095434815 0.03121771 0.067269124 -0.14203241 -0.110633984 -0.17567031 0.21143277 0.08230267 0.024699787 0.05451666 0.08250917 -0.11420365 -0.20528774 -0.025534552 0.03923392 -0.1340915 0.04325815 -0.14917716 -0.10967534 -0.019149201 0.0318018 0.04306108 0.041809455 0.010288004 -0.16262214 0.11309504 -0.10862715 0.15329215 -0.066870406 -0.15569413 -0.13189228 0.020228414 0.132992 0.013479755 0.077214114 -0.13079032 -0.03717422 0.14808655 -0.10083191 -0.036511503 0.045602035 -0.014380266 0.10090374 -0.037365545 -0.07555202 -0.05298199 -0.040214624 -0.099588834 0.08111557 0.17281486 -0.038275685 -0.08976088 0.13345855
005L_IIV3	-0.112179555 0.06849376 -0.005237212 -0.068335675 0.091369376 0.015089145 0.004998033 0.12439911 -0.08326251 0.1291894 0.14028527 0.022450317 -0.07526572 0.044503134 0.12796605 -0.017544439 0.001989127 0.1718975 -0.09234616 0.022022832 0.21019194 0.0659975 -0.10861988 -0.113517255 0.0833752 0.078748345 0.09893165 -0.09159577 -0.036248393 0.026887212 -0.083769634 0.053570047 0.08248959 -0.03775154 -0.107586615 0.048164938 -0.2838381 -0.14332147 0.04877636 -0.06419595 -0.061940547 -0.1369268 -0.06932796 -0.019152205 0.122974165 0.04359814 0.025204744 -0.12425507 0.040925514 0.09149313 -0.091774814 -0.081787914 -0.15130752 0.19702716 0.055392355 0.025484245 0.07497834 0.10499541 -0.10239429 -0.227541 -0.031804677 0.02246424 -0.10057531 0.04100361 -0.1358458 -0.11271939 -0.023186835 0.016404608 0.052505184 0.061368342 0.02154379 -0.17016037 0.11923476 -0.10462837 0.17829394 -0.059302114 -0.14590578 -0.13837965 0.0107440865 0.1511748 0.020845294 0.077998936 -0.103534825 -0.055574004 0.15380368 -0.11636726 -0.049332224 0.036312785 0.0035177246 0.074047685 -0.05087048 -0.086263806 -0.014009258 -0.0548453 -0.08948358 0.0914478 0.22161826 -0.0067817857 -0.059424564 0.12857288
005R_FRG3G	-0.07595969 0.11974577 -0.027744599 -0.085334994 0.07919275 -0.012857405 0.02658911 0.12703791 -0.10866895 0.12855989 0.12514675 0.034038726 -0.0543579 0.03540181 0.17681108 -0.009261969 -0.004623799 0.17493445 -0.104612425 0.03050758 0.22823559 0.06749279 -0.08700012 -0.107217155 0.05907152 0.10098553 0.09852217 -0.115058154 -0.02535174 0.03187626 -0.062419217 0.020561872 0.09047884 -0.039963923 -0.092402145 0.041267227 -0.2780428 -0.13503331 0.04785986 -0.06945889 -0.03729097 -0.13165228 -0.034453288 -0.016278706 0.088680014 0.028167125 0.038035996 -0.105179146 0.029315343 0.08421724 -0.13711783 -0.10485622 -0.17261545 0.20512033 0.07346085 0.025419379 0.05737437 0.084510125 -0.112501904 -0.21039441 -0.03139996 0.038276568 -0.13916974 0.05141288 -0.14586496 -0.108561546 -0.02590087 0.014422474 0.042408243 0.05360991 0.011261666 -0.16609521 0.11748152 -0.10716208 0.15834512 -0.07059606 -0.1433747 -0.12911677 0.018428948 0.14326857 0.010474065 0.069255866 -0.12076702 -0.043921717 0.1492103 -0.09758516 -0.035845753 0.053014304 -0.013402264 0.096927635 -0.030442294 -0.06274864 -0.055401225 -0.049288392 -0.10317245 0.094094396 0.1861397 -0.03187876 -0.08356248 0.1279571
006L_IIV6	-0.088354275 0.112437114 -0.029176263 -0.07968305 0.08882925 0.0015333295 0.020699969 0.12847766 -0.1151658 0.12543695 0.11800177 0.028609877 -0.054009203 0.02782867 0.17541452 -0.012239204 -0.004733983 0.17262308 -0.10224188 0.01573695 0.22747192 0.067101955 -0.09017654 -0.0976942 0.07712863 0.09671814 0.0988936 -0.11301111 -0.018231627 0.028556762 -0.064524114 0.02582751 0.07515866 -0.050863694 -0.102615714 0.04855542 -0.28099275 -0.13450527 0.05155857 -0.06264115 -0.04060885 -0.13128135 -0.047670532 -0.010220971 0.092498645 0.0236304 0.03844001 -0.11806701 0.018743517 0.079785556 -0.12934257 -0.10002674 -0.17264515 0.19473134 0.06902863 0.02796556 0.067656375 0.08602602 -0.098817706 -0.21678063 -0.04170405 0.036743898 -0.123836264 0.04787257 -0.14126258 -0.102733925 -0.016934963 0.008007075 0.057296567 0.054211903 0.018346505 -0.16303183 0.13256858 -0.10210519 0.15569313 -0.06298992 -0.1497187 -0.121281 0.018168582 0.14259191 0.0063647535 0.06128774 -0.12165866 -0.05286435 0.15512219 -0.10702604 -0.044115853 0.05837403 -0.014941433 0.08967147 -0.04166498 -0.083760016 -0.05464299 -0.03971413 -0.08847285 0.087601714 0.20815177 -0.027317457 -0.07819859 0.12900425
006R_FRG3G	-0.08685782 0.11774089 -0.031469706 -0.090086065 0.09025386 -0.002926477 0.011897761 0.13300155 -0.10804575 0.12257655 0.1313384 0.019232977 -0.060153507 0.034292527 0.17991741 -0.0030910484 0.00021392565 0.17563322 -0.09919894 0.020679135 0.2188259 0.06895459 -0.07604326 -0.089730866 0.078962415 0.10767084 0.08590417 -0.112202816 -0.030125536 0.03384149 -0.07380435 0.038986318 0.08677284 -0.04911795 -0.09074538 0.047177482 -0.27811778 -0.12971532 0.05647226 -0.052193686 -0.050916817 -0.13209091 -0.05871573 -0.0077397926 0.08628675 0.018588983 0.03397596 -0.109405585 0.029049374 0.083621144 -0.12124432 -0.09001166 -0.17178555 0.19861446 0.06389844 0.032248087 0.07310349 0.0854264 -0.10017778 -0.2177669 -0.042769484 0.040149696 -0.1340288 0.042314317 -0.13472496 -0.08940308 -0.0200675 0.0117913345 0.0606555 0.054032903 0.019374404 -0.17635334 0.13111965 -0.10228036 0.15372004 -0.056628086 -0.16585855 -0.117190726 0.029612575 0.13444729 0.007103107 0.058807172 -0.13014436 -0.05997736 0.15554227 -0.102795005 -0.040530466 0.0582813 -0.014057338 0.06710694 -0.042587817 -0.084884435 -0.048131257 -0.038502842 -0.09063103 0.09310599 0.20656206 -0.021391515 -0.08244971 0.13045925
